tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err,Table1.Disposition
00394698182-01,394698182,1,s0012,44502,3.71169,0.00000188,1626.15,0.000083,2458626.15,0.000083,0.106115,0.0123891,8.82013,0.00709,85.8716,0.677496,0.63497,0.0177205,2.92445,0.0055,0.447404,0.00275,11958.4,59.7952,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.5156985,0.1326761,0.1127849,-0.1144416,6,mandel-agol_geometric_transit_model,TRUE,61.71641,2096.764,2561.624,59.09027,320.939,5.35394,449,488.7727,14.1429,5.18974,0.0485,-1,1322.93,-1,723.877,-1,1,1,5973,131.549,4.30614,0.0774,0,0,1.22084,0.0572,0.6046179,0.1114549,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,3.711109638,-1,1626.149292,-1,2458626.149,-1,2.930326326,-1,0.571046389,-1,11630.03938,-1,TRUE,14592,3550,1.301802,256.7445,-0.0675736,0.627775,2.22448,-3.474748,-0.35419,1.17637,19.92335,46.18592,0.1421648,0,0,1.658107,1.342501,2321.024,467.1712,0.4902098,2.124332,0,6.015498,0.057,0.843631,8,44.58382,5.974326,0.01082844,2.500237,-0.0207,2.51489,0.0234,2.511754,0.5066708,2.500237,-0.957603,2.514888,1.083383,2.511691,PC
00394721720-01,394721720,1,s0027,44274,1.06907,0.00245,2036.55,0.00457,2459036.55,0.00457,0.0818,0.00523,2.60939,5.46215,67.746,17.3058,0.988209,2.12127,1.49701,0.428531,0.748507,0.435392,2939.41,121.025,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.5295352,0.0784,0.1882479,-0.1451216,20,mandel-agol_geometric_transit_model,TRUE,20.6767,3088.512,3842.804,18.70931,49.80628,29.91908,568,549.4555,10.1327,1.93425,0.021,0.00495,1922.97,63.1807,3231.52,281.108,1,1,5930,126.607,4.36195,0.0824,0,0,1.13442,0.0523,0.7399048,0.1444557,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,1.069054246,-1,2036.550063,-1,2459036.55,-1,1.593410342,-1,0.717926043,-1,3224.454051,-1,TRUE,15906,4794,1.46809,225.1796,-0.0685722,0.650072,1.36875,-2.325984,0.61248,-0.25419,6.487684,16.02049,0.00657,0,0,0.5323585,1.544971,2539.587,1841.491,-0.3026862,0.3345727,6.85E-55,7.185105,-0.2569319,1.046134,23,14.08459,0.2708181,1.505151,2.501287,-5.03382,2.661226,5.254029,2.648464,2.016697,2.500821,-4.306149,2.661225,4.754996,2.633093,PC
00394918211-01,394918211,1,s0038,44393,4.38021,0.00929,2337.63,0.00652,2459337.63,0.00652,0.0372,0.00446,4.23413,6.21935,89.8647,3.84737,0.01,0.401046,8.28114,0.597483,0.302803,0.616091,1687.07,155.035,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.6900136,-0.5858984,1.097522,-0.4688512,6,mandel-agol_geometric_transit_model,TRUE,21.56676,5206.032,6288.931,22.21652,48.51108,3.98738,1124,1183.827,13.8732,1.7065,0.118837,0.00785,1161.88,50.1472,430.695,111.56,1,1,4913,122,4.438,0,0,0,3.41348,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,4.380553722,-1,2337.635156,-1,2459337.635,-1,8.477824811,-1,1.083671368,-1,1336.297426,-1,TRUE,17910,8606,1.587784,230.0736,-0.375439,0.535789,1.40569,-2.320024,0.89998,1.83748,7.987177,14.58879,0.3759404,0,0,9.287347,5.438387,3135.996,465.6426,1.523861,4.231433,1.53E-74,6.216761,1.104886,0.7397164,6,13.55966,4.277777,-0.6461115,2.501078,-0.6050033,2.559664,0.8851492,2.528617,-1.232299,2.501045,-1.003177,2.559662,1.589001,2.524571,PC
00396368313-01,396368313,1,s0038,44393,3.0898,0.00929,2334.45,0.00652,2459334.45,0.00652,0.0787,0.00446,8.0831,6.21935,83.4688,3.84737,0.919404,0.401046,1.65976,0.597483,0.743608,0.616091,5553.81,155.035,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.6353002,-0.2899606,0.2711461,-0.1032003,8,mandel-agol_geometric_transit_model,TRUE,38.08548,1683.015,1941.498,37.57441,136.1886,17.63091,359,418.6993,14.0199,1.7065,0.0555,0.00785,2248.21,50.1472,6037.63,111.56,1,1,9401,179.581,4.39139,0.0695,0,0,1.63132,0.0630352,0.5506181,0.0906,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,3.09027648,-1,2334.445683,-1,2459334.446,-1,1.614860701,-1,0.511004655,-1,5248.304594,-1,TRUE,18423,2875,2.597981,317.2272,-0.0107103,0.6855634,3.03136,-2.481791,0.99303,1.3847,13.73874,32.51458,0.7132138,0,0,2.738732,1.000073,4471.614,398.6068,1.738604,5.481374,2.4E-258,6.791285,0.0846,0.9450881,9,22.32149,6.858263,-0.1496709,2.50375,-1.209522,2.574903,1.218747,2.573845,-0.8202089,2.503749,-0.7970365,2.574902,1.143683,2.538555,PC
00396562848-01,396562848,1,s0018,44333,1.9494,,1792.61,,2458792.61,,0.0462,,20.8897,,88.921,,0.393375,,0.691506,,0.0359,,2436.54,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6575026,0.3245839,-0.2906909,0.0711,11,mandel-agol_geometric_transit_model,TRUE,12.98139,1107.539,1361.167,9.644312,17.55869,2.84084,292,263.1613,1.31341,,0.0188,,560.797,,23.3745,,1,1,3414,157,4.97292,0.0116,0,0,0.260187,0.00784,13.17147,0.5310524,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,1.949453712,-1,1792.604451,-1,2458792.604,-1,0.591067118,-1,0.000409,-1,2392.714828,-1,TRUE,14960,2538,2.608603,453.5548,-0.056817,0.6194037,2.44297,-2.516787,1.43971,1.38832,5.724413,9.769,2.378971,0,0,50.98915,77.07743,2316.943,881.9151,0.6485575,1.990418,4.22E-25,6.774286,0.1021588,0.9401168,12,8.520647,3.856351,-0.2243788,2.55391,-0.1097885,3.531987,0.2497986,2.769888,1.095356,2.553906,-0.2464359,3.531984,1.122736,2.609447,PC
00396720998-01,396720998,1,s0005,44379,12.8563,-1,1444.72,-1,2458444.72,-1,0.166719,-1,21.6509,-1,87.9884,-1,0.759974,-1,4.01936,-1,1.23402,-1,27793.2,-1,0,-1,0,-1,claret_tess_nonlinear_limb_darkening_model,1.2155,-2.1084,1.9177,-0.6565,2,mandel-agol_geometric_transit_model,TRUE,21.65308,1230.593,1092.14,26.08207,63.0594,552.5169,172,738.4877,2.6755,-1,0.0853,-1,2896.45,-1,16633.5,-1,1,1,50000,15000,5.8024,0.554287,0,0,0.147,0.111,157.4282,233.4562,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,12.86249447,-1,1444.714971,-1,2458444.715,-1,3.943558665,-1,0.962900769,-1,27874.85006,-1,TRUE,17938,1429,2.614512,2735.601,-0.014113,0.6687326,2.83657,-2.842836,-2.6028,-0.441689,33.90637,26.24548,358.4852,0,0,1529.46,1612.781,28005.31,8785.322,0.9477172,2.834865,0,4.025156,1.97001,0.3693243,2,4.015217,2.440475,-1.472021,2.543806,-1.835877,2.631258,2.353145,2.597387,-0.5826662,2.543686,-1.080905,2.631231,1.227948,2.611775,PC
00396740648-01,396740648,1,s0019,44334,3.77001,,1817.27,,2458817.27,,0.0611,,10.7801,,89.1565,,0.158704,,2.80775,,0.166051,,4487.04,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6773015,-0.5324104,1.032807,-0.454645,6,mandel-agol_geometric_transit_model,TRUE,45.88338,1993.527,2384.66,43.14583,176.3516,51.33598,351,383.1746,5.45823,,0.0448,,953.429,,195.288,,1,1,5058,122.082,4.53907,0.0868,0,0,0.81833,0.0477,1.542203,0.3210923,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,3.769442797,-1,1817.267583,-1,2458817.268,-1,2.995205283,-1,0.549803683,-1,4473.663221,-1,TRUE,17008,3513,1.847568,186.0387,-0.119268,0.6167542,2.25387,-2.448294,2.68053,1.3597,16.63355,31.99916,1.197851,0,0,6.908144,3.350239,2389.843,283.558,1.763499,5.015279,1.39E-182,7.660109,-0.2776194,1.121076,7,28.84921,2.648619,0.3247667,2.505213,-1.64015,2.527951,1.671995,2.527097,-1.123355,2.505211,-1.991879,2.527948,2.286812,2.52248,PC
00396950329-01,396950329,1,s0046,44643,1.77642,0.000029,2527.12,0.000124,2459527.12,0.000124,0.117742,0.332274,8.16868,1.20079,83.1615,1.12952,0.972649,0.476356,0.922204,0.0107037,0.461102,0.00535,6562.72,891.323,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.7336,-0.647,1.1321,-0.4729,28,mandel-agol_geometric_transit_model,TRUE,24.74296,3272.512,3818.215,20.23865,61.77195,51.76254,404,352.4801,10.7743,29.679,0.026685,0.00608,1211.64,32.8628,509.345,11.0322,1,11,4899.32,105.553,4.49553,0.0779,0.31,0.032,0.838218,0.0494,1.361987,0.257037,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,1.776306152,-1,2527.123198,-1,2459527.123,-1,0.937794509,-1,0.422754825,-1,6692.907902,-1,TRUE,33763,3301,1.984263,612.5358,-0.0237962,0.6904055,2.53009,-3.17709,0.64607,-0.164606,6.256784,18.41473,0.39114,0,0,2.06709,5.508146,2246.224,1495.482,0.1937294,0.6914781,1.56E-74,7.150961,-0.0503,1.013029,30,12.11956,4.913122,0.48857,2.634218,0.6303866,2.680397,0.7975512,2.663162,0.740357,2.634215,0.6615971,2.680394,0.9928944,2.654818,PC
00397058826-01,397058826,1,s0023,44272,6.82922,,1930.89,,2458930.89,,0.0268,,5.46019,,89.5691,,0.0411,,9.86167,,0.260365,,794.231,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6700611,-0.3276515,0.2998787,-0.1102178,3,mandel-agol_geometric_transit_model,TRUE,32.20391,2828.375,3862.37,23.14789,48.30682,11.99106,914,860.579,12.6755,,0.094,,2798.21,,14489.2,,1,1,9333,134.294,3.53807,0.0664,0,0,4.33793,0.133492,0.029026,0.00453,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,6.827775002,-1,1930.891702,-1,2458930.892,-1,10.38356806,-1,0.910267303,-1,871.3949326,-1,TRUE,14353,6573,1.291923,72.92242,-0.0250144,0.3812347,2.2609,-2.130228,1.13331,3.11109,14.40507,23.32292,2.286668,0,0,2.204447,1.593637,5271.642,945.8856,0.7557849,2.604896,9.16E-273,4.960676,0.7031365,0.6413724,4,0,0,-2.312641,2.503949,-10.7318,2.503578,10.97815,2.503595,-1.159099,2.503946,-8.880447,2.503576,8.955771,2.503582,PC
00398371628-01,398371628,1,s0047,44613,7.14085,,2584.89,,2459584.89,,0.127167,,16.1154,,86.5382,,0.973086,,1.92958,,0.964792,,7875.66,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6436508,-0.3569688,0.7849892,-0.3779497,4,mandel-agol_geometric_transit_model,TRUE,21.80648,859.3351,1078.954,19.92963,39.11021,6.61651,179,196.9704,13.8838,,0.0714,,902.289,,156.64,,1,1,5463,121.383,4.41573,0.0792,0,0,1.00007,0.0521,0.9499471,0.180183,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,7.140274525,-1,2584.892487,-1,2459584.892,-1,1.971118643,-1,0.900131353,-1,8494.091722,-1,TRUE,17365,1435,2.978323,882.5912,-0.0562175,0.572202,3.05247,-2.478199,4.6722,2.86803,11.65594,19.52106,1.062024,0,0,12.83484,33.56536,2640.485,1725.312,0.3525909,1.007262,6.78E-60,8.096106,-0.4967517,1.229555,4,14.87819,2.859559,0.7558005,2.501112,0.4070168,2.639427,0.8584271,2.532865,-0.8056307,2.500812,-0.1234279,2.639424,0.8150309,2.504077,PC
