src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors
qlp,1003831,.01,0,,,,,,,,,,,,,48
qlp,1103432,.01,0,,,,,,,,,,,,,48
qlp,1129033,.01,0,,,,,,,,,,,,,48
qlp,1133072,.01,0,,,,,,,,,,,,,48
qlp,1167538,.01,0,,,,,,,,,,,,,48
qlp,1449640,.01,0,,,,,,,,,,,,,48
qlp,1528696,.01,0,,,,,,,,,,,,,48
qlp,2758565,.01,0,,,,,,,,,,,,,48
qlp,2760219,.01,0,,,,,,,,,,,,,48
qlp,2760710,.01,0,,,,,,,,,,,,,48
qlp,3027681,.01,0,,,,,,,,,,,,,48
qlp,3364732,.01,0,,,,,,,,,,,,,48
qlp,4070275,.01,0,,,,,,,,,,,,,48
qlp,4165850,.01,0,,,,,,,,,,,,,48
qlp,4294779,.01,0,,,,,,,,,,,,,48
qlp,4464022,.01,0,,,,,,,,,,,,,48
qlp,4605846,.01,0,,,,,,,,,,,,,48
qlp,4616072,.01,0,,,,,,,,,,,,,48
qlp,4646810,.01,0,,,,,,,,,,,,,48
qlp,4897275,.01,0,,,,,,,,,,,,,48
qlp,5109298,.01,0,,,,,,,,,,,,,48
qlp,5868998,.01,0,,,,,,,,,,,,,48
qlp,5882269,.01,0,,,,,,,,,,,,,48
qlp,6276559,.01,0,,,,,,,,,,,,,48
qlp,6663331,.01,0,,,,,,,,,,,,,48
qlp,6892385,.01,0,,,,,,,,,,,,,48
qlp,6893917,.01,0,,,,,,,,,,,,,48
qlp,7020254,.01,0,,,,,,,,,,,,,48
qlp,7059054,.01,0,,,,,,,,,,,,,48
qlp,7088246,.01,0,,,,,,,,,,,,,48
qlp,7413227,.01,0,,,,,,,,,,,,,48
qlp,7422496,.01,0,,,,,,,,,,,,,48
qlp,7439481,.01,0,,,,,,,,,,,,,48
qlp,7548817,.01,0,,,,,,,,,,,,,48
qlp,7561203,.01,0,,,,,,,,,,,,,48
qlp,7624182,.01,0,,,,,,,,,,,,,48
qlp,8260536,.01,0,,,,,,,,,,,,,48
qlp,8400842,.01,0,,,,,,,,,,,,,48
qlp,8516795,.01,0,,,,,,,,,,,,,48
qlp,8677530,.01,0,,,,,,,,,,,,,48
qlp,8767448,.01,0,,,,,,,,,,,,,48
qlp,8853478,.01,0,,,,,,,,,,,,,48
qlp,8967242,.01,0,,,,,,,,,,,,,48
qlp,9006668,.01,0,,,,,,,,,,,,,48
qlp,9033144,.01,0,,,,,,,,,,,,,48
qlp,9100874,.01,0,,,,,,,,,,,,,48
qlp,9155187,.01,0,,,,,,,,,,,,,48
qlp,9346507,.01,0,,,,,,,,,,,,,48
qlp,9348006,.01,0,,,,,,,,,,,,,48
qlp,9392421,.01,0,,,,,,,,,,,,,48
qlp,9725627,.01,0,,,,,,,,,,,,,48
qlp,9727392,.01,0,,,,,,,,,,,,,48
qlp,9804616,.01,0,,,,,,,,,,,,,48
qlp,9858404,.01,0,,,,,,,,,,,,,48
qlp,10837041,.01,0,,,,,,,,,,,,,48
qlp,11111899,.01,0,,,,,,,,,,,,,48
qlp,11521555,.01,0,,,,,,,,,,,,,48
qlp,11561667,.01,0,,,,,,,,,,,,,48
qlp,11996814,.01,0,,,,,,,,,,,,,48
qlp,12421862,.01,0,,,,,,,,,,,,,48
qlp,12423815,.01,0,,,,,,,,,,,,,48
qlp,12862099,.01,0,,,,,,,,,,,,,48
qlp,13021029,.01,0,,,,,,,,,,,,,48
qlp,13023378,.01,0,,,,,,,,,,,,,48
qlp,13349647,.01,0,,,,,,,,,,,,,48
qlp,13684720,.01,0,,,,,,,,,,,,,48
qlp,14091633,.01,0,,,,,,,,,,,,,48
qlp,14091704,.01,0,,,,,,,,,,,,,48
qlp,14336130,.01,0,,,,,,,,,,,,,48
qlp,14344979,.01,0,,,,,,,,,,,,,48
qlp,14570132,.01,0,,,,,,,,,,,,,48
qlp,14614418,.01,0,,,,,,,,,,,,,48
qlp,14661418,.01,0,,,,,,,,,,,,,48
qlp,14770122,.01,0,,,,,,,,,,,,,48
qlp,15247229,.01,0,,,,,,,,,,,,,48
qlp,15445551,.01,0,,,,,,,,,,,,,48
qlp,15863518,.01,0,,,,,,,,,,,,,48
qlp,16076354,.01,0,,,,,,,,,,,,,48
qlp,16288184,.01,0,,,,,,,,,,,,,48
qlp,16740101,.01,0,,,,,,,,,,,,,48
qlp,16884216,.01,0,,,,,,,,,,,,,48
qlp,17005768,.01,0,,,,,,,,,,,,,48
qlp,17150865,.01,0,,,,,,,,,,,,,48
qlp,17746821,.01,0,,,,,,,,,,,,,48
qlp,17993892,.01,0,,,,,,,,,,,,,48
qlp,18017227,.01,0,,,,,,,,,,,,,48
qlp,18373995,.01,0,,,,,,,,,,,,,48
qlp,19025965,.01,0,,,,,,,,,,,,,48
qlp,19028197,.01,0,,,,,,,,,,,,,48
qlp,19451711,.01,0,,,,,,,,,,,,,48
qlp,19519368,.01,0,,,,,,,,,,,,,48
qlp,19684256,.01,0,,,,,,,,,,,,,48
qlp,20096620,.01,0,,,,,,,,,,,,,48
qlp,20178111,.01,0,,,,,,,,,,,,,48
qlp,20182165,.01,0,,,,,,,,,,,,,48
qlp,20299658,.01,0,,,,,,,,,,,,,48
qlp,20318757,.01,0,,,,,,,,,,,,,48
qlp,20897611,.01,0,,,,,,,,,,,,,48
qlp,21113347,.01,0,,,,,,,,,,,,,48
qlp,21279791,.01,0,,,,,,,,,,,,,48
qlp,21535395,.01,0,,,,,,,,,,,,,48
qlp,21744120,.01,0,,,,,,,,,,,,,48
qlp,21755546,.01,0,,,,,,,,,,,,,48
qlp,21832928,.01,0,,,,,,,,,,,,,48
